Year,Month,Season,District,Best_Crop_To_Plant,Type_of_Crop,Soil_Type,Soil_PH_Low,Soil_PH_High,Crop_Duration_Min_Days,Crop_Duration_Max_Days,Rainfall_mm,Max_Temp_C,Min_Temp_C,Water_Required_Min_mm,Water_Required_Max_mm
2023,Oct,Samba/Thaladi,CAUVERY,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.0,8.0,150.0,180.0,270.53,26.04,16.23,600.0,800.0
2025,Apr,Navarai/Kodai,KRISHNAGIRI,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,329.44,25.33,10.36,700.0,1200.0
2025,Nov,Samba/Thaladi,JAWAD HILLS,niger,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.2,7.3,80.0,80.0,346.67,25.0,12.63,1000.0,1300.0
2023,May,Navarai/Kodai,THIRUVALLUR,sweet potato,Root&tuber,well-drained soil,5.7,6.7,90.0,120.0,414.27,26.53,23.5,1000.0,1000.0
2025,Dec,Samba/Thaladi,VILLUPURAM,varagu,millets,clay-based soil,5.5,6.5,120.0,120.0,424.87,26.77,27.25,500.0,900.0
2025,Nov,Samba/Thaladi,SIVAGANGAI,chowchow,vegetables,Loamy soil/ Lateritic soil,5.5,6.5,150.0,150.0,796.09,24.37,19.6,1200.0,1500.0
2022,Jul,Kuruvai/Sornavari,KARUR,horsegram,pulses, light to heavy soils ,6.0,7.5,100.0,105.0,240.13,39.62,27.82,800.0,800.0
2023,Jan,Navarai/Kodai,PERAMBALUR,tomato,vegetables,Sandy loam,6.5,7.5,90.0,140.0,183.25,31.93,17.35,600.0,800.0
2021,Aug,Kuruvai/Sornavari,COIMBATORE,beetroot,Root&tuber,all types of friable soil,6.0,7.0,45.0,65.0,396.15,24.26,20.14,1000.0,1000.0
2023,Apr,Navarai/Kodai,JAWAD HILLS,sweet potato,Root&tuber,well-drained soil,5.7,6.7,90.0,120.0,648.09,25.57,24.12,1000.0,1000.0
2022,Feb,Navarai/Kodai,THIRUCHIRAPALLI,Basella,minor vegetables,Sandy loam,5.5,8.0,70.0,70.0,359.22,27.19,14.05,900.0,1200.0
2025,Jun,Kuruvai/Sornavari,CUDDALORE,cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.0,8.6,45.0,55.0,262.32,25.95,23.53,800.0,1000.0
2025,Oct,Samba/Thaladi,KOLLI HILLS,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.0,8.5,120.0,160.0,322.12,26.46,24.38,500.0,500.0
2022,Sep,Kuruvai/Sornavari,KANCHEEPURAM,ribbed gourd,vegetables,Sandy Loam,6.5,7.5,125.0,125.0,253.87,32.36,27.43,900.0,1200.0
2023,Nov,Samba/Thaladi,TIRUVARUR,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,476.92,26.87,11.56,900.0,1200.0
2021,Sep,Kuruvai/Sornavari,ERODE,pumpkin,vegetables,Loamy soil/ Lateritic soil,6.0,7.0,115.0,120.0,731.43,26.15,22.23,900.0,1200.0
2024,May,Navarai/Kodai,THALAVADI HILLS,niger,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.2,7.3,80.0,80.0,265.41,25.0,15.42,1000.0,1300.0
2022,Jan,Navarai/Kodai,PERAMBALUR,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.0,8.0,135.0,140.0,353.84,25.63,25.63,700.0,1300.0
2025,Dec,Samba/Thaladi,THOOTHUKUDI,soyabean,pulses,"Well-drained, Loamy Soil",6.0,7.0,90.0,100.0,225.74,27.93,17.47,450.0,700.0
2024,Feb,Navarai/Kodai,ERODE,Butter bean,minor vegetables,Sandy loam,6.0,7.0,80.0,100.0,500.44,25.56,20.33,900.0,1200.0
2021,Nov,Samba/Thaladi,TIRUVARUR,carrot,Root&tuber,light or sandy loam soil,6.0,7.0,75.0,75.0,602.0,24.41,18.69,1000.0,1000.0
2022,Oct,Samba/Thaladi,ARIYALUR,capsicum,vegetables,Loamy soil/ Lateritic soil,5.5,7.0,60.0,60.0,753.04,28.55,16.47,500.0,1200.0
2021,Oct,Samba/Thaladi,CAUVERY,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,6.0,8.0,150.0,180.0,400.7,26.3,13.13,600.0,800.0
